province; province.or; Totalpopulation; In-migration; Out-migration; Netmigration; netmigration.rate
Adana; Adana; 2 165 595;  51 562;  63 181; -11,619; -5.4
Adiyaman; Adıyaman;  597 835;  16 578;  24 330; -7,752; -12.9
Afyon; Afyonkarahisar;  706 371;  21 414;  27 100; -5,686; -8.0
Agri; Ağrı;  549 435;  14 480;  30 995; -16,515; -29.6
Aksaray; Aksaray;  384 252;  11 936;  14 577; -2,641; -6.8
Amasya; Amasya;  321 913;  12 970;  14 817; -1,847; -5.7
Ankara; Ankara; 5 150 072;  203 621;  163 612; 40,009; 7.8
Antalya; Antalya; 2 222 562;  93 057;  64 631; 28,426; 12.9
Ardahan; Ardahan;  100 809;  5 323;  8 033; -2,710; -26.5
Artvin; Artvin;  169 674;  9 551;  10 187; -636; -3.7
Aydin; Aydın; 1 041 979;  45 842;  32 396; 13,446; 13.0
Balikesir; Balıkesir; 1 189 057;  57 551;  39 918; 17,633; 14.9
Bartin; Bartın;  189 405;  7 794;  8 903; -1,109; -5.8
Batman; Batman;  557 593;  18 543;  21 515; -2,972; -5.3
Bayburt; Bayburt;  80 607;  8 912;  5 583; 3,329; 42.2
Bilecik; Bilecik;  209 925;  10 090;  10 114; -24; -0.1
Bingol; Bingöl;  266 019;  9 400;  12 852; -3,452; -12.9
Bitlis; Bitlis;  338 023;  11 447;  17 470; -6,023; -17.7
Bolu; Bolu;  284 789;  13 264;  13 065; 199; 0.7
Burdur; Burdur;  256 898;  10 235;  12 271; -2,036; -7.9
Bursa; Bursa; 2 787 539;  80 717;  65 027; 15,690; 5.6
Canakkale; Çanakkale;  511 790;  27 429;  20 540; 6,889; 13.6
Cankiri; Çankırı;  183 550;  14 519;  23 080; -8,561; -45.6
Corum; Çorum;  527 220;  15 875;  24 652; -8,777; -16.5
Denizli; Denizli;  978 700;  28 279;  24 771; 3,508; 3.6
Diyarbakir; Diyarbakır; 1 635 048;  36 920;  48 019; -11,099; -6.8
Ducze; Düzce;  355 549;  11 980;  12 249; -269; -0.8
Edirne; Edirne;  400 280;  16 431;  17 108; -677; -1.7
Elazig; Elazığ;  568 753;  19 724;  24 162; -4,438; -7.8
Erzincan; Erzincan;  223 633;  15 450;  13 641; 1,809; 8.1
Erzurum; Erzurum;  763 320;  27 994;  45 209; -17,215; -22.3
Eskisehir; Eskişehir;  812 320;  35 927;  27 977; 7,950; 9.8
Gaziantep; Gaziantep; 1 889 466;  46 438;  44 415; 2,023; 1.1
Giresun; Giresun;  429 984;  26 857;  23 620; 3,237; 7.6
Gumushane; Gümüşhane;  146 353;  18 811;  16 071; 2,740; 18.9
Hakkari; Hakkari;  276 287;  7 187;  10 897; -3,710; -13.3
Hatay; Hatay; 1 519 836;  32 678;  39 181; -6,503; -4.3
Igdir; Iğdır;  192 056;  7 407;  9 453; -2,046; -10.6
Isparta; Isparta;  418 780;  17 966;  19 930; -1,964; -4.7
Istanbul; İstanbul; 14 377 018;  438 998;  424 662; 14,336; 1.0
Izmir; İzmir; 4 113 072;  124 439;  101 447; 22,992; 5.6
K.maras; Kahramanmaraş; 1 089 038;  27 619;  30 903; -3,284; -3.0
Karabuk; Karabük;  231 333;  13 438;  13 195; 243; 1.1
Karaman; Karaman;  240 362;  8 673;  9 788; -1,115; -4.6
Kars; Kars;  296 466;  10 280;  20 020; -9,740; -32.3
Kastamonu; Kastamonu;  368 907;  17 539;  18 163; -624; -1.7
Kayseri; Kayseri; 1 322 376;  40 957;  33 374; 7,583; 5.8
Kilis; Kilis;  128 781;  5 759;  7 451; -1,692; -13.1
Kirikkale; Kırıkkale;  271 092;  13 306;  18 744; -5,438; -19.9
Kirklareli; Kırklareli;  343 723;  14 553;  13 678; 875; 2.5
Kirsehir; Kırşehir;  222 707;  10 648;  12 199; -1,551; -6.9
Kocaeli; Kocaeli; 1 722 795;  79 697;  55 060; 24,637; 14.4
Konya; Konya; 2 108 808;  55 798;  55 453; 345; 0.2
Kutahya; Kütahya;  571 554;  18 734;  21 860; -3,126; -5.5
Malatya; Malatya;  769 544;  29 285;  31 476; -2,191; -2.8
Manisa; Manisa; 1 367 905;  35 570;  38 432; -2,862; -2.1
Mardin; Mardin;  788 996;  22 207;  30 796; -8,589; -10.8
Mersin; Mersin; 1 727 255;  55 598;  54 843; 755; 0.4
Mugla; Muğla;  894 509;  48 219;  29 671; 18,548; 21.0
Mus; Muş;  411 216;  12 077;  22 688; -10,611; -25.5
Nevsehir; Nevşehir;  286 250;  10 164;  13 165; -3,001; -10.4
Nigde; Niğde;  343 898;  13 785;  17 946; -4,161; -12.0
Ordu; Ordu;  724 268;  28 555;  39 937; -11,382; -15.6
Osmaniye; Osmaniye;  506 807;  17 880;  18 214; -334; -0.7
Rize; Rize;  329 779;  17 311;  17 932; -621; -1.9
Sakarya; Sakarya;  932 706;  32 701;  28 311; 4,390; 4.7
Samsun; Samsun; 1 269 989;  41 057;  44 519; -3,462; -2.7
Sanliurfa; Şanlıurfa; 1 845 667;  35 670;  49 030; -13,360; -7.2
Siirt; Siirt;  318 366;  10 551;  14 366; -3,815; -11.9
Sinop; Sinop;  204 526;  10 783;  11 950; -1,167; -5.7
Sirnak; Şırnak;  488 966;  12 749;  16 142; -3,393; -6.9
Sivas; Sivas;  623 116;  29 726;  34 855; -5,129; -8.2
Tekirdag; Tekirdağ;  906 732;  52 994;  31 266; 21,728; 24.3
Tokat; Tokat;  597 920;  35 891;  38 737; -2,846; -4.7
Trabzon; Trabzon;  766 782;  31 847;  29 741; 2,106; 2.8
Tunceli; Tunceli;  86 527;  7 286;  6 810; 476; 5.5
Usak; Uşak;  349 459;  10 190;  10 895; -705; -2.0
Van; Van; 1 085 542;  27 587;  44 435; -16,848; -15.4
Yalova; Yalova;  226 514;  14 680;  11 064; 3,616; 16.1
Yozgat; Yozgat;  432 560;  16 200;  27 722; -11,522; -26.3
Zonguldak; Zonguldak;  598 796;  18 115;  24 783; -6,668; -11.1
